job_id,object,snapshot,sam,property,property_key,bin_index,bin_lo,bin_hi,fnl,filename,exists
51,QSO,87,galform,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_QSO_fnl100_galform_mstar_10p50350_12p00000.npz,True
52,QSO,87,galform,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_QSO_fnl100_galform_log10_OII_lum_39p00000_39p64443.npz,True
53,QSO,87,galform,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_QSO_fnl100_galform_log10_OII_lum_40p10221_40p56051.npz,True
54,QSO,87,galform,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_QSO_fnl100_galform_log10_OII_lum_41p08099_44p00000.npz,True
55,QSO,87,shark,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_QSO_fnl100_shark_mstar_9p50000_9p69649.npz,True
56,QSO,87,shark,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_QSO_fnl100_shark_mstar_9p90654_10p15730.npz,True
57,QSO,87,shark,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_QSO_fnl100_shark_mstar_10p50350_12p00000.npz,True
58,QSO,87,shark,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_QSO_fnl100_shark_log10_OII_lum_39p00000_39p64443.npz,True
59,QSO,87,shark,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_QSO_fnl100_shark_log10_OII_lum_40p10221_40p56051.npz,True
60,QSO,87,shark,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_QSO_fnl100_shark_log10_OII_lum_41p08099_44p00000.npz,True
61,QSO-4,81,galform,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_QSO-4_fnl100_galform_mstar_9p50000_9p69649.npz,True
62,QSO-4,81,galform,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_QSO-4_fnl100_galform_mstar_9p90654_10p15730.npz,True
63,QSO-4,81,galform,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_QSO-4_fnl100_galform_mstar_10p50350_12p00000.npz,True
64,QSO-4,81,galform,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_QSO-4_fnl100_galform_log10_OII_lum_39p00000_39p64443.npz,True
65,QSO-4,81,galform,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_QSO-4_fnl100_galform_log10_OII_lum_40p10221_40p56051.npz,True
66,QSO-4,81,galform,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_QSO-4_fnl100_galform_log10_OII_lum_41p08099_44p00000.npz,True
67,QSO-4,81,shark,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_QSO-4_fnl100_shark_mstar_9p50000_9p69649.npz,True
68,QSO-4,81,shark,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_QSO-4_fnl100_shark_mstar_9p90654_10p15730.npz,True
69,QSO-4,81,shark,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_QSO-4_fnl100_shark_mstar_10p50350_12p00000.npz,True
70,QSO-4,81,shark,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_QSO-4_fnl100_shark_log10_OII_lum_39p00000_39p64443.npz,True
71,QSO-4,81,shark,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_QSO-4_fnl100_shark_log10_OII_lum_40p10221_40p56051.npz,True
72,QSO-4,81,shark,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_QSO-4_fnl100_shark_log10_OII_lum_41p08099_44p00000.npz,True
73,QSO-5,74,galform,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_QSO-5_fnl100_galform_mstar_9p50000_9p69649.npz,True
74,QSO-5,74,galform,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_QSO-5_fnl100_galform_mstar_9p90654_10p15730.npz,True
75,QSO-5,74,galform,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_QSO-5_fnl100_galform_mstar_10p50350_12p00000.npz,True
76,QSO-5,74,galform,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_QSO-5_fnl100_galform_log10_OII_lum_39p00000_39p64443.npz,True
77,QSO-5,74,galform,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_QSO-5_fnl100_galform_log10_OII_lum_40p10221_40p56051.npz,True
78,QSO-5,74,galform,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_QSO-5_fnl100_galform_log10_OII_lum_41p08099_44p00000.npz,True
79,QSO-5,74,shark,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_QSO-5_fnl100_shark_mstar_9p50000_9p69649.npz,True
80,QSO-5,74,shark,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_QSO-5_fnl100_shark_mstar_9p90654_10p15730.npz,True
81,QSO-5,74,shark,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_QSO-5_fnl100_shark_mstar_10p50350_12p00000.npz,True
82,QSO-5,74,shark,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_QSO-5_fnl100_shark_log10_OII_lum_39p00000_39p64443.npz,True
83,QSO-5,74,shark,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_QSO-5_fnl100_shark_log10_OII_lum_40p10221_40p56051.npz,True
84,QSO-5,74,shark,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_QSO-5_fnl100_shark_log10_OII_lum_41p08099_44p00000.npz,True
85,QSO-6,65,galform,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_QSO-6_fnl100_galform_mstar_9p50000_9p69649.npz,True
86,QSO-6,65,galform,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_QSO-6_fnl100_galform_mstar_9p90654_10p15730.npz,True
87,QSO-6,65,galform,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_QSO-6_fnl100_galform_mstar_10p50350_12p00000.npz,True
88,QSO-6,65,galform,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_QSO-6_fnl100_galform_log10_OII_lum_39p00000_39p64443.npz,True
89,QSO-6,65,galform,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_QSO-6_fnl100_galform_log10_OII_lum_40p10221_40p56051.npz,True
90,QSO-6,65,galform,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_QSO-6_fnl100_galform_log10_OII_lum_41p08099_44p00000.npz,True
91,QSO-6,65,shark,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_QSO-6_fnl100_shark_mstar_9p50000_9p69649.npz,True
92,QSO-6,65,shark,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_QSO-6_fnl100_shark_mstar_9p90654_10p15730.npz,True
93,QSO-6,65,shark,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_QSO-6_fnl100_shark_mstar_10p50350_12p00000.npz,True
94,QSO-6,65,shark,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_QSO-6_fnl100_shark_log10_OII_lum_39p00000_39p64443.npz,True
95,QSO-6,65,shark,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_QSO-6_fnl100_shark_log10_OII_lum_40p10221_40p56051.npz,True
96,QSO-6,65,shark,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_QSO-6_fnl100_shark_log10_OII_lum_41p08099_44p00000.npz,True
